Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
H13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
H24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
I24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
J24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
K24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
